,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:4),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
5,8,8,ECS,C1,8,LNX,3Y,NU, SAR 326.42 ,,ECS,C1,8,WIN,3Y,NU, SAR 842.14 ,,ECS,C1,8,RH,3Y,NU, SAR 554.58 
6,10,10,ECS,C1,10,LNX,3Y,NU, SAR 408.02 ,,ECS,C1,10,WIN,3Y,NU," SAR 1,052.68 ",,ECS,C1,10,RH,3Y,NU, SAR 636.18 
7,12,12,ECS,C1,12,LNX,3Y,NU, SAR 489.62 ,,ECS,C1,12,WIN,3Y,NU," SAR 1,263.21 ",,ECS,C1,12,RH,3Y,NU, SAR 717.78 
8,14,14,ECS,C1,14,LNX,3Y,NU, SAR 571.23 ,,ECS,C1,14,WIN,3Y,NU," SAR 1,473.75 ",,ECS,C1,14,RH,3Y,NU, SAR 799.39 
9,16,16,ECS,C1,16,LNX,3Y,NU, SAR 652.83 ,,ECS,C1,16,WIN,3Y,NU," SAR 1,684.28 ",,ECS,C1,16,RH,3Y,NU, SAR 880.99 
10,18,18,ECS,C1,18,LNX,3Y,NU, SAR 734.44 ,,ECS,C1,18,WIN,3Y,NU," SAR 1,894.82 ",,ECS,C1,18,RH,3Y,NU," SAR 1,238.60 "
11,20,20,ECS,C1,20,LNX,3Y,NU, SAR 816.04 ,,ECS,C1,20,WIN,3Y,NU," SAR 2,105.35 ",,ECS,C1,20,RH,3Y,NU," SAR 1,320.20 "
12,22,22,ECS,C1,22,LNX,3Y,NU, SAR 897.64 ,,ECS,C1,22,WIN,3Y,NU," SAR 2,315.89 ",,ECS,C1,22,RH,3Y,NU," SAR 1,401.80 "
13,24,24,ECS,C1,24,LNX,3Y,NU, SAR 979.25 ,,ECS,C1,24,WIN,3Y,NU," SAR 2,526.42 ",,ECS,C1,24,RH,3Y,NU," SAR 1,483.41 "
14,26,26,ECS,C1,26,LNX,3Y,NU," SAR 1,060.85 ",,ECS,C1,26,WIN,3Y,NU," SAR 2,736.96 ",,ECS,C1,26,RH,3Y,NU," SAR 1,565.01 "
15,28,28,ECS,C1,28,LNX,3Y,NU," SAR 1,142.46 ",,ECS,C1,28,WIN,3Y,NU," SAR 2,947.49 ",,ECS,C1,28,RH,3Y,NU," SAR 1,646.62 "
16,30,30,ECS,C1,30,LNX,3Y,NU," SAR 1,224.06 ",,ECS,C1,30,WIN,3Y,NU," SAR 3,158.03 ",,ECS,C1,30,RH,3Y,NU," SAR 1,728.22 "
17,32,32,ECS,C1,32,LNX,3Y,NU," SAR 1,305.66 ",,ECS,C1,32,WIN,3Y,NU," SAR 3,368.56 ",,ECS,C1,32,RH,3Y,NU," SAR 1,809.82 "
18,64,64,ECS,C1,64,LNX,3Y,NU," SAR 2,611.33 ",,ECS,C1,64,WIN,3Y,NU," SAR 6,737.12 ",,ECS,C1,64,RH,3Y,NU," SAR 3,115.49 "
19,128,128,ECS,C1,128,LNX,3Y,NU," SAR 5,222.66 ",,ECS,C1,128,WIN,3Y,NU," SAR 13,474.24 ",,ECS,C1,128,RH,3Y,NU," SAR 5,726.82 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:0.5),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,2,1,ECS,C2,1,LNX,3Y,NU, SAR 69.56 ,,ECS,C2,1,WIN,3Y,NU, SAR 169.35 ,,ECS,C2,1,RH,3Y,NU, SAR 297.72 
2,4,2,ECS,C2,2,LNX,3Y,NU, SAR 139.12 ,,ECS,C2,2,WIN,3Y,NU, SAR 338.70 ,,ECS,C2,2,RH,3Y,NU, SAR 367.28 
3,6,3,ECS,C2,3,LNX,3Y,NU, SAR 208.68 ,,ECS,C2,3,WIN,3Y,NU, SAR 508.05 ,,ECS,C2,3,RH,3Y,NU, SAR 436.84 
4,8,4,ECS,C2,4,LNX,3Y,NU, SAR 278.24 ,,ECS,C2,4,WIN,3Y,NU, SAR 677.40 ,,ECS,C2,4,RH,3Y,NU, SAR 506.40 
5,10,5,ECS,C2,5,LNX,3Y,NU, SAR 347.81 ,,ECS,C2,5,WIN,3Y,NU, SAR 846.75 ,,ECS,C2,5,RH,3Y,NU, SAR 575.97 
6,12,6,ECS,C2,6,LNX,3Y,NU, SAR 417.37 ,,ECS,C2,6,WIN,3Y,NU," SAR 1,016.10 ",,ECS,C2,6,RH,3Y,NU, SAR 645.53 
7,14,7,ECS,C2,7,LNX,3Y,NU, SAR 486.93 ,,ECS,C2,7,WIN,3Y,NU," SAR 1,185.45 ",,ECS,C2,7,RH,3Y,NU, SAR 715.09 
8,16,8,ECS,C2,8,LNX,3Y,NU, SAR 556.49 ,,ECS,C2,8,WIN,3Y,NU," SAR 1,354.80 ",,ECS,C2,8,RH,3Y,NU, SAR 784.65 
9,18,9,ECS,C2,9,LNX,3Y,NU, SAR 626.05 ,,ECS,C2,9,WIN,3Y,NU," SAR 1,524.15 ",,ECS,C2,9,RH,3Y,NU," SAR 1,130.21 "
10,20,10,ECS,C2,10,LNX,3Y,NU, SAR 695.61 ,,ECS,C2,10,WIN,3Y,NU," SAR 1,693.51 ",,ECS,C2,10,RH,3Y,NU," SAR 1,199.77 "
11,22,11,ECS,C2,11,LNX,3Y,NU, SAR 765.17 ,,ECS,C2,11,WIN,3Y,NU," SAR 1,862.86 ",,ECS,C2,11,RH,3Y,NU," SAR 1,269.33 "
12,24,12,ECS,C2,12,LNX,3Y,NU, SAR 834.73 ,,ECS,C2,12,WIN,3Y,NU," SAR 2,032.21 ",,ECS,C2,12,RH,3Y,NU," SAR 1,338.89 "
13,26,13,ECS,C2,13,LNX,3Y,NU, SAR 904.30 ,,ECS,C2,13,WIN,3Y,NU," SAR 2,201.56 ",,ECS,C2,13,RH,3Y,NU," SAR 1,408.46 "
14,28,14,ECS,C2,14,LNX,3Y,NU, SAR 973.86 ,,ECS,C2,14,WIN,3Y,NU," SAR 2,370.91 ",,ECS,C2,14,RH,3Y,NU," SAR 1,478.02 "
15,30,15,ECS,C2,15,LNX,3Y,NU," SAR 1,043.42 ",,ECS,C2,15,WIN,3Y,NU," SAR 2,540.26 ",,ECS,C2,15,RH,3Y,NU," SAR 1,547.58 "
16,32,16,ECS,C2,16,LNX,3Y,NU," SAR 1,112.98 ",,ECS,C2,16,WIN,3Y,NU," SAR 2,709.61 ",,ECS,C2,16,RH,3Y,NU," SAR 1,617.14 "
17,34,17,ECS,C2,17,LNX,3Y,NU," SAR 1,182.54 ",,ECS,C2,17,WIN,3Y,NU," SAR 2,878.96 ",,ECS,C2,17,RH,3Y,NU," SAR 1,686.70 "
18,36,18,ECS,C2,18,LNX,3Y,NU," SAR 1,252.10 ",,ECS,C2,18,WIN,3Y,NU," SAR 3,048.31 ",,ECS,C2,18,RH,3Y,NU," SAR 1,756.26 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:8),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,8,ECS,M1,8,LNX,3Y,NU, SAR 85.67 ,,ECS,M1,8,WIN,3Y,NU, SAR 197.74 ,,ECS,M1,8,RH,3Y,NU, SAR 241.91 
2,2,16,ECS,M1,16,LNX,3Y,NU, SAR 171.33 ,,ECS,M1,16,WIN,3Y,NU, SAR 395.48 ,,ECS,M1,16,RH,3Y,NU, SAR 327.57 
3,4,32,ECS,M1,32,LNX,3Y,NU, SAR 342.67 ,,ECS,M1,32,WIN,3Y,NU, SAR 790.96 ,,ECS,M1,32,RH,3Y,NU, SAR 498.91 
4,6,48,ECS,M1,48,LNX,3Y,NU, SAR 514.00 ,,ECS,M1,48,WIN,3Y,NU," SAR 1,186.44 ",,ECS,M1,48,RH,3Y,NU, SAR 670.24 
5,8,64,ECS,M1,64,LNX,3Y,NU, SAR 685.34 ,,ECS,M1,64,WIN,3Y,NU," SAR 1,581.92 ",,ECS,M1,64,RH,3Y,NU, SAR 841.58 
6,10,80,ECS,M1,80,LNX,3Y,NU, SAR 856.67 ,,ECS,M1,80,WIN,3Y,NU," SAR 1,977.39 ",,ECS,M1,80,RH,3Y,NU," SAR 1,012.91 "
7,12,96,ECS,M1,96,LNX,3Y,NU," SAR 1,028.01 ",,ECS,M1,96,WIN,3Y,NU," SAR 2,372.87 ",,ECS,M1,96,RH,3Y,NU," SAR 1,184.25 "
8,14,112,ECS,M1,112,LNX,3Y,NU," SAR 1,199.34 ",,ECS,M1,112,WIN,3Y,NU," SAR 2,768.35 ",,ECS,M1,112,RH,3Y,NU," SAR 1,355.58 "
9,16,128,ECS,M1,128,LNX,3Y,NU," SAR 1,370.68 ",,ECS,M1,128,WIN,3Y,NU," SAR 3,163.83 ",,ECS,M1,128,RH,3Y,NU," SAR 1,526.92 "
10,18,144,ECS,M1,144,LNX,3Y,NU," SAR 1,542.01 ",,ECS,M1,144,WIN,3Y,NU," SAR 3,559.31 ",,ECS,M1,144,RH,3Y,NU," SAR 1,887.25 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:4),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,4,ECS,G1,4,LNX,3Y,PU, SAR 66.06 ,,ECS,G1,4,WIN,3Y,PU, SAR 177.48 ,,ECS,G1,4,RH,3Y,PU, SAR 261.98 
2,2,8,ECS,G1,8,LNX,3Y,PU, SAR 132.12 ,,ECS,G1,8,WIN,3Y,PU, SAR 354.95 ,,ECS,G1,8,RH,3Y,PU, SAR 328.04 
3,4,16,ECS,G1,16,LNX,3Y,PU, SAR 264.24 ,,ECS,G1,16,WIN,3Y,PU, SAR 709.90 ,,ECS,G1,16,RH,3Y,PU, SAR 460.16 
4,6,24,ECS,G1,24,LNX,3Y,PU, SAR 396.36 ,,ECS,G1,24,WIN,3Y,PU," SAR 1,064.85 ",,ECS,G1,24,RH,3Y,PU, SAR 592.28 
5,8,32,ECS,G1,32,LNX,3Y,PU, SAR 528.48 ,,ECS,G1,32,WIN,3Y,PU," SAR 1,419.81 ",,ECS,G1,32,RH,3Y,PU, SAR 724.40 
6,10,40,ECS,G1,40,LNX,3Y,PU, SAR 660.60 ,,ECS,G1,40,WIN,3Y,PU," SAR 1,774.76 ",,ECS,G1,40,RH,3Y,PU, SAR 856.52 
7,12,48,ECS,G1,48,LNX,3Y,PU, SAR 792.72 ,,ECS,G1,48,WIN,3Y,PU," SAR 2,129.71 ",,ECS,G1,48,RH,3Y,PU, SAR 988.64 
8,14,56,ECS,G1,56,LNX,3Y,PU, SAR 924.84 ,,ECS,G1,56,WIN,3Y,PU," SAR 2,484.66 ",,ECS,G1,56,RH,3Y,PU," SAR 1,120.76 "
9,16,64,ECS,G1,64,LNX,3Y,PU," SAR 1,056.96 ",,ECS,G1,64,WIN,3Y,PU," SAR 2,839.61 ",,ECS,G1,64,RH,3Y,PU," SAR 1,252.88 "
10,18,72,ECS,G1,72,LNX,3Y,PU," SAR 1,189.08 ",,ECS,G1,72,WIN,3Y,PU," SAR 3,194.56 ",,ECS,G1,72,RH,3Y,PU," SAR 1,622.00 "
11,20,80,ECS,G1,80,LNX,3Y,PU," SAR 1,321.20 ",,ECS,G1,80,WIN,3Y,PU," SAR 3,549.52 ",,ECS,G1,80,RH,3Y,PU," SAR 1,754.12 "
12,22,88,ECS,G1,88,LNX,3Y,PU," SAR 1,453.32 ",,ECS,G1,88,WIN,3Y,PU," SAR 3,904.47 ",,ECS,G1,88,RH,3Y,PU," SAR 1,886.24 "
13,24,96,ECS,G1,96,LNX,3Y,PU," SAR 1,585.44 ",,ECS,G1,96,WIN,3Y,PU," SAR 4,259.42 ",,ECS,G1,96,RH,3Y,PU," SAR 2,018.36 "
14,26,104,ECS,G1,104,LNX,3Y,PU," SAR 1,717.55 ",,ECS,G1,104,WIN,3Y,PU," SAR 4,614.37 ",,ECS,G1,104,RH,3Y,PU," SAR 2,150.47 "
15,28,112,ECS,G1,112,LNX,3Y,PU," SAR 1,849.67 ",,ECS,G1,112,WIN,3Y,PU," SAR 4,969.32 ",,ECS,G1,112,RH,3Y,PU," SAR 2,282.59 "
16,30,120,ECS,G1,120,LNX,3Y,PU," SAR 1,981.79 ",,ECS,G1,120,WIN,3Y,PU," SAR 5,324.27 ",,ECS,G1,120,RH,3Y,PU," SAR 2,414.71 "
17,32,128,ECS,G1,128,LNX,3Y,PU," SAR 2,113.91 ",,ECS,G1,128,WIN,3Y,PU," SAR 5,679.23 ",,ECS,G1,128,RH,3Y,PU," SAR 2,546.83 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:2),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,2,ECS,G2,2,LNX,3Y,PU, SAR 48.82 ,,ECS,G2,2,WIN,3Y,PU, SAR 142.17 ,,ECS,G2,2,RH,3Y,PU, SAR 259.62 
2,2,4,ECS,G2,4,LNX,3Y,PU, SAR 97.65 ,,ECS,G2,4,WIN,3Y,PU, SAR 284.33 ,,ECS,G2,4,RH,3Y,PU, SAR 308.45 
3,4,8,ECS,G2,8,LNX,3Y,PU, SAR 195.30 ,,ECS,G2,8,WIN,3Y,PU, SAR 568.66 ,,ECS,G2,8,RH,3Y,PU, SAR 406.10 
4,6,12,ECS,G2,12,LNX,3Y,PU, SAR 292.94 ,,ECS,G2,12,WIN,3Y,PU, SAR 852.99 ,,ECS,G2,12,RH,3Y,PU, SAR 503.74 
5,8,16,ECS,G2,16,LNX,3Y,PU, SAR 390.59 ,,ECS,G2,16,WIN,3Y,PU," SAR 1,137.32 ",,ECS,G2,16,RH,3Y,PU, SAR 601.39 
6,10,20,ECS,G2,20,LNX,3Y,PU, SAR 488.24 ,,ECS,G2,20,WIN,3Y,PU," SAR 1,421.66 ",,ECS,G2,20,RH,3Y,PU, SAR 699.04 
7,12,24,ECS,G2,24,LNX,3Y,PU, SAR 585.89 ,,ECS,G2,24,WIN,3Y,PU," SAR 1,705.99 ",,ECS,G2,24,RH,3Y,PU, SAR 796.69 
8,14,28,ECS,G2,28,LNX,3Y,PU, SAR 683.54 ,,ECS,G2,28,WIN,3Y,PU," SAR 1,990.32 ",,ECS,G2,28,RH,3Y,PU, SAR 894.34 
9,16,32,ECS,G2,32,LNX,3Y,PU, SAR 781.18 ,,ECS,G2,32,WIN,3Y,PU," SAR 2,274.65 ",,ECS,G2,32,RH,3Y,PU, SAR 991.98 
10,18,36,ECS,G2,36,LNX,3Y,PU, SAR 878.83 ,,ECS,G2,36,WIN,3Y,PU," SAR 2,558.98 ",,ECS,G2,36,RH,3Y,PU," SAR 1,344.63 "
11,20,40,ECS,G2,40,LNX,3Y,PU, SAR 976.48 ,,ECS,G2,40,WIN,3Y,PU," SAR 2,843.31 ",,ECS,G2,40,RH,3Y,PU," SAR 1,442.28 "
12,22,44,ECS,G2,44,LNX,3Y,PU," SAR 1,074.13 ",,ECS,G2,44,WIN,3Y,PU," SAR 3,127.64 ",,ECS,G2,44,RH,3Y,PU," SAR 1,539.93 "
13,24,48,ECS,G2,48,LNX,3Y,PU," SAR 1,171.78 ",,ECS,G2,48,WIN,3Y,PU," SAR 3,411.97 ",,ECS,G2,48,RH,3Y,PU," SAR 1,637.58 "
14,26,52,ECS,G2,52,LNX,3Y,PU," SAR 1,269.42 ",,ECS,G2,52,WIN,3Y,PU," SAR 3,696.31 ",,ECS,G2,52,RH,3Y,PU," SAR 1,735.22 "
15,28,56,ECS,G2,56,LNX,3Y,PU," SAR 1,367.07 ",,ECS,G2,56,WIN,3Y,PU," SAR 3,980.64 ",,ECS,G2,56,RH,3Y,PU," SAR 1,832.87 "
16,30,60,ECS,G2,60,LNX,3Y,PU," SAR 1,464.72 ",,ECS,G2,60,WIN,3Y,PU," SAR 4,264.97 ",,ECS,G2,60,RH,3Y,PU," SAR 1,930.52 "
17,32,64,ECS,G2,64,LNX,3Y,PU," SAR 1,562.37 ",,ECS,G2,64,WIN,3Y,PU," SAR 4,549.30 ",,ECS,G2,64,RH,3Y,PU," SAR 2,028.17 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:1),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,1,ECS,C1,1,LNX,3Y,PU, SAR 37.70 ,,ECS,C1,1,WIN,3Y,PU, SAR 102.19 ,,ECS,C1,1,RH,3Y,PU, SAR 248.50 
2,2,2,ECS,C1,2,LNX,3Y,PU, SAR 75.40 ,,ECS,C1,2,WIN,3Y,PU, SAR 204.37 ,,ECS,C1,2,RH,3Y,PU, SAR 286.20 
3,4,4,ECS,C1,4,LNX,3Y,PU, SAR 150.79 ,,ECS,C1,4,WIN,3Y,PU, SAR 408.75 ,,ECS,C1,4,RH,3Y,PU, SAR 361.59 
4,6,6,ECS,C1,6,LNX,3Y,PU, SAR 226.19 ,,ECS,C1,6,WIN,3Y,PU, SAR 613.12 ,,ECS,C1,6,RH,3Y,PU, SAR 436.99 
5,8,8,ECS,C1,8,LNX,3Y,PU, SAR 301.58 ,,ECS,C1,8,WIN,3Y,PU, SAR 817.49 ,,ECS,C1,8,RH,3Y,PU, SAR 512.38 
6,10,10,ECS,C1,10,LNX,3Y,PU, SAR 376.98 ,,ECS,C1,10,WIN,3Y,PU," SAR 1,021.87 ",,ECS,C1,10,RH,3Y,PU, SAR 587.78 
7,12,12,ECS,C1,12,LNX,3Y,PU, SAR 452.37 ,,ECS,C1,12,WIN,3Y,PU," SAR 1,226.24 ",,ECS,C1,12,RH,3Y,PU, SAR 663.17 
8,14,14,ECS,C1,14,LNX,3Y,PU, SAR 527.77 ,,ECS,C1,14,WIN,3Y,PU," SAR 1,430.61 ",,ECS,C1,14,RH,3Y,PU, SAR 738.57 
9,16,16,ECS,C1,16,LNX,3Y,PU, SAR 603.16 ,,ECS,C1,16,WIN,3Y,PU," SAR 1,634.98 ",,ECS,C1,16,RH,3Y,PU, SAR 813.96 
10,18,18,ECS,C1,18,LNX,3Y,PU, SAR 678.56 ,,ECS,C1,18,WIN,3Y,PU," SAR 1,839.36 ",,ECS,C1,18,RH,3Y,PU," SAR 1,144.36 "
11,20,20,ECS,C1,20,LNX,3Y,PU, SAR 753.95 ,,ECS,C1,20,WIN,3Y,PU," SAR 2,043.73 ",,ECS,C1,20,RH,3Y,PU," SAR 1,219.75 "
12,22,22,ECS,C1,22,LNX,3Y,PU, SAR 829.35 ,,ECS,C1,22,WIN,3Y,PU," SAR 2,248.10 ",,ECS,C1,22,RH,3Y,PU," SAR 1,295.15 "
13,24,24,ECS,C1,24,LNX,3Y,PU, SAR 904.74 ,,ECS,C1,24,WIN,3Y,PU," SAR 2,452.48 ",,ECS,C1,24,RH,3Y,PU," SAR 1,370.54 "
14,26,26,ECS,C1,26,LNX,3Y,PU, SAR 980.14 ,,ECS,C1,26,WIN,3Y,PU," SAR 2,656.85 ",,ECS,C1,26,RH,3Y,PU," SAR 1,445.94 "
15,28,28,ECS,C1,28,LNX,3Y,PU," SAR 1,055.53 ",,ECS,C1,28,WIN,3Y,PU," SAR 2,861.22 ",,ECS,C1,28,RH,3Y,PU," SAR 1,521.33 "
16,30,30,ECS,C1,30,LNX,3Y,PU," SAR 1,130.93 ",,ECS,C1,30,WIN,3Y,PU," SAR 3,065.60 ",,ECS,C1,30,RH,3Y,PU," SAR 1,596.73 "
17,32,32,ECS,C1,32,LNX,3Y,PU," SAR 1,206.32 ",,ECS,C1,32,WIN,3Y,PU," SAR 3,269.97 ",,ECS,C1,32,RH,3Y,PU," SAR 1,672.12 "
18,64,64,ECS,C1,64,LNX,3Y,PU," SAR 2,412.64 ",,ECS,C1,64,WIN,3Y,PU," SAR 6,539.94 ",,ECS,C1,64,RH,3Y,PU," SAR 2,878.44 "
19,128,128,ECS,C1,128,LNX,3Y,PU," SAR 4,825.28 ",,ECS,C1,128,WIN,3Y,PU," SAR 13,079.87 ",,ECS,C1,128,RH,3Y,PU," SAR 5,291.08 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:0.5),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,2,1,ECS,C2,1,LNX,3Y,PU, SAR 64.27 ,,ECS,C2,1,WIN,3Y,PU, SAR 164.39 ,,ECS,C2,1,RH,3Y,PU, SAR 275.07 
2,4,2,ECS,C2,2,LNX,3Y,PU, SAR 128.54 ,,ECS,C2,2,WIN,3Y,PU, SAR 328.79 ,,ECS,C2,2,RH,3Y,PU, SAR 339.34 
3,6,3,ECS,C2,3,LNX,3Y,PU, SAR 192.81 ,,ECS,C2,3,WIN,3Y,PU, SAR 493.18 ,,ECS,C2,3,RH,3Y,PU, SAR 403.61 
4,8,4,ECS,C2,4,LNX,3Y,PU, SAR 257.07 ,,ECS,C2,4,WIN,3Y,PU, SAR 657.58 ,,ECS,C2,4,RH,3Y,PU, SAR 467.87 
5,10,5,ECS,C2,5,LNX,3Y,PU, SAR 321.34 ,,ECS,C2,5,WIN,3Y,PU, SAR 821.97 ,,ECS,C2,5,RH,3Y,PU, SAR 532.14 
6,12,6,ECS,C2,6,LNX,3Y,PU, SAR 385.61 ,,ECS,C2,6,WIN,3Y,PU, SAR 986.36 ,,ECS,C2,6,RH,3Y,PU, SAR 596.41 
7,14,7,ECS,C2,7,LNX,3Y,PU, SAR 449.88 ,,ECS,C2,7,WIN,3Y,PU," SAR 1,150.76 ",,ECS,C2,7,RH,3Y,PU, SAR 660.68 
8,16,8,ECS,C2,8,LNX,3Y,PU, SAR 514.15 ,,ECS,C2,8,WIN,3Y,PU," SAR 1,315.15 ",,ECS,C2,8,RH,3Y,PU, SAR 724.95 
9,18,9,ECS,C2,9,LNX,3Y,PU, SAR 578.42 ,,ECS,C2,9,WIN,3Y,PU," SAR 1,479.55 ",,ECS,C2,9,RH,3Y,PU," SAR 1,044.22 "
10,20,10,ECS,C2,10,LNX,3Y,PU, SAR 642.69 ,,ECS,C2,10,WIN,3Y,PU," SAR 1,643.94 ",,ECS,C2,10,RH,3Y,PU," SAR 1,108.49 "
11,22,11,ECS,C2,11,LNX,3Y,PU, SAR 706.95 ,,ECS,C2,11,WIN,3Y,PU," SAR 1,808.33 ",,ECS,C2,11,RH,3Y,PU," SAR 1,172.75 "
12,24,12,ECS,C2,12,LNX,3Y,PU, SAR 771.22 ,,ECS,C2,12,WIN,3Y,PU," SAR 1,972.73 ",,ECS,C2,12,RH,3Y,PU," SAR 1,237.02 "
13,26,13,ECS,C2,13,LNX,3Y,PU, SAR 835.49 ,,ECS,C2,13,WIN,3Y,PU," SAR 2,137.12 ",,ECS,C2,13,RH,3Y,PU," SAR 1,301.29 "
14,28,14,ECS,C2,14,LNX,3Y,PU, SAR 899.76 ,,ECS,C2,14,WIN,3Y,PU," SAR 2,301.51 ",,ECS,C2,14,RH,3Y,PU," SAR 1,365.56 "
15,30,15,ECS,C2,15,LNX,3Y,PU, SAR 964.03 ,,ECS,C2,15,WIN,3Y,PU," SAR 2,465.91 ",,ECS,C2,15,RH,3Y,PU," SAR 1,429.83 "
16,32,16,ECS,C2,16,LNX,3Y,PU," SAR 1,028.30 ",,ECS,C2,16,WIN,3Y,PU," SAR 2,630.30 ",,ECS,C2,16,RH,3Y,PU," SAR 1,494.10 "
17,34,17,ECS,C2,17,LNX,3Y,PU," SAR 1,092.56 ",,ECS,C2,17,WIN,3Y,PU," SAR 2,794.70 ",,ECS,C2,17,RH,3Y,PU," SAR 1,558.36 "
18,36,18,ECS,C2,18,LNX,3Y,PU," SAR 1,156.83 ",,ECS,C2,18,WIN,3Y,PU," SAR 2,959.09 ",,ECS,C2,18,RH,3Y,PU," SAR 1,622.63 "
,,,,,,,,,,,,,,,,,,,,,,,,,,
Specs (1:8),,,FREE LINUX,,,,,,,,WINDOWS,,,,,,,,REDHAT,,,,,,
#,vCPU,RAM,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price,,Ser,Typ,Fla,OS,Com,Mod,DETASAD New Monthly List Price
1,1,8,ECS,M1,8,LNX,3Y,PU, SAR 78.87 ,,ECS,M1,8,WIN,3Y,PU, SAR 191.98 ,,ECS,M1,8,RH,3Y,PU, SAR 222.71 
2,2,16,ECS,M1,16,LNX,3Y,PU, SAR 157.74 ,,ECS,M1,16,WIN,3Y,PU, SAR 383.96 ,,ECS,M1,16,RH,3Y,PU, SAR 301.58 
3,4,32,ECS,M1,32,LNX,3Y,PU, SAR 315.47 ,,ECS,M1,32,WIN,3Y,PU, SAR 767.92 ,,ECS,M1,32,RH,3Y,PU, SAR 459.31 
4,6,48,ECS,M1,48,LNX,3Y,PU, SAR 473.21 ,,ECS,M1,48,WIN,3Y,PU," SAR 1,151.88 ",,ECS,M1,48,RH,3Y,PU, SAR 617.05 
5,8,64,ECS,M1,64,LNX,3Y,PU, SAR 630.95 ,,ECS,M1,64,WIN,3Y,PU," SAR 1,535.84 ",,ECS,M1,64,RH,3Y,PU, SAR 774.79 
6,10,80,ECS,M1,80,LNX,3Y,PU, SAR 788.68 ,,ECS,M1,80,WIN,3Y,PU," SAR 1,919.80 ",,ECS,M1,80,RH,3Y,PU, SAR 932.52 
7,12,96,ECS,M1,96,LNX,3Y,PU, SAR 946.42 ,,ECS,M1,96,WIN,3Y,PU," SAR 2,303.76 ",,ECS,M1,96,RH,3Y,PU," SAR 1,090.26 "
8,14,112,ECS,M1,112,LNX,3Y,PU," SAR 1,104.16 ",,ECS,M1,112,WIN,3Y,PU," SAR 2,687.72 ",,ECS,M1,112,RH,3Y,PU," SAR 1,248.00 "
9,16,128,ECS,M1,128,LNX,3Y,PU," SAR 1,261.89 ",,ECS,M1,128,WIN,3Y,PU," SAR 3,071.68 ",,ECS,M1,128,RH,3Y,PU," SAR 1,405.73 "
10,18,144,ECS,M1,144,LNX,3Y,PU," SAR 1,419.63 ",,ECS,M1,144,WIN,3Y,PU," SAR 3,455.64 ",,ECS,M1,144,RH,3Y,PU," SAR 1,737.47 "
